ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
90247,11,2018,RESIDENTIAL,N,15449,363877,23.5534
90247,12,2018,COMMERCIAL,N,453,167056,368.7770
90247,12,2018,INDUSTRIAL,Y,,,
90247,12,2018,RESIDENTIAL,N,15445,536227,34.7185
90248,10,2018,COMMERCIAL,Y,,,
90248,10,2018,INDUSTRIAL,Y,,,
90248,10,2018,RESIDENTIAL,N,3390,65524,19.3286
90248,11,2018,COMMERCIAL,Y,,,
90248,11,2018,INDUSTRIAL,Y,,,
90248,11,2018,RESIDENTIAL,N,3390,89911,26.5224
90248,12,2018,COMMERCIAL,Y,,,
90248,12,2018,INDUSTRIAL,Y,,,
90248,12,2018,RESIDENTIAL,N,3390,144282,42.5611
90249,10,2018,COMMERCIAL,N,495,117905,238.1919
90249,10,2018,INDUSTRIAL,Y,,,
90249,10,2018,RESIDENTIAL,N,8722,170894,19.5934
90249,11,2018,COMMERCIAL,N,497,119704,240.8531
90249,11,2018,INDUSTRIAL,Y,,,
90249,11,2018,RESIDENTIAL,N,8721,236102,27.0728
90249,12,2018,COMMERCIAL,N,497,128630,258.8129
90249,12,2018,INDUSTRIAL,Y,,,
90249,12,2018,RESIDENTIAL,N,8721,378833,43.4392
90250,10,2018,COMMERCIAL,Y,,,
90250,10,2018,INDUSTRIAL,Y,,,
90250,10,2018,RESIDENTIAL,N,28902,532458,18.4229
90250,11,2018,COMMERCIAL,Y,,,
90250,11,2018,INDUSTRIAL,Y,,,
90250,11,2018,RESIDENTIAL,N,28899,593073,20.5223
90250,12,2018,COMMERCIAL,N,621,284243,457.7182
90250,12,2018,INDUSTRIAL,Y,,,
90250,12,2018,RESIDENTIAL,N,28902,807988,27.9561
90254,10,2018,COMMERCIAL,Y,294,56817,193.2551
90254,10,2018,INDUSTRIAL,Y,,,
90254,10,2018,RESIDENTIAL,N,8716,147905,16.9694
90254,11,2018,COMMERCIAL,Y,292,69006,236.3219
90254,11,2018,INDUSTRIAL,Y,,,
90254,11,2018,RESIDENTIAL,N,8716,174605,20.0327
90254,12,2018,COMMERCIAL,Y,294,67767,230.5000
90254,12,2018,INDUSTRIAL,Y,,,
90254,12,2018,RESIDENTIAL,N,8713,263748,30.2706
90255,10,2018,COMMERCIAL,N,594,143391,241.3990
90255,10,2018,INDUSTRIAL,Y,,,
90255,10,2018,RESIDENTIAL,N,17688,326502,18.4590
90255,11,2018,COMMERCIAL,N,594,155596,261.9461
90255,11,2018,INDUSTRIAL,Y,,,
90255,11,2018,RESIDENTIAL,N,17693,363832,20.5636
90255,12,2018,COMMERCIAL,N,594,162804,274.0808
90255,12,2018,INDUSTRIAL,Y,,,
90255,12,2018,RESIDENTIAL,N,17692,462802,26.1588
90260,10,2018,COMMERCIAL,Y,1245,806976,648.1735
90260,10,2018,INDUSTRIAL,Y,,,
90260,10,2018,RESIDENTIAL,N,10438,185022,17.7258
90260,11,2018,COMMERCIAL,N,284,60785,214.0317
90260,11,2018,INDUSTRIAL,Y,,,
90260,11,2018,RESIDENTIAL,N,10439,216721,20.7607
90260,12,2018,COMMERCIAL,N,284,64756,228.0141
90260,12,2018,INDUSTRIAL,Y,,,
90260,12,2018,RESIDENTIAL,N,10442,321136,30.7543
90261,10,2018,COMMERCIAL,Y,,,
90261,11,2018,COMMERCIAL,Y,,,
90261,12,2018,COMMERCIAL,Y,,,
90262,10,2018,COMMERCIAL,Y,,,
90262,10,2018,INDUSTRIAL,Y,,,
90262,10,2018,RESIDENTIAL,N,15085,324969,21.5425
90262,11,2018,COMMERCIAL,Y,,,
90262,11,2018,INDUSTRIAL,Y,,,
90262,11,2018,RESIDENTIAL,N,15085,360188,23.8772
90262,12,2018,COMMERCIAL,Y,,,
90262,12,2018,INDUSTRIAL,Y,,,
90262,12,2018,RESIDENTIAL,N,15083,500085,33.1555
90263,10,2018,COMMERCIAL,Y,,,
90263,11,2018,COMMERCIAL,Y,,,
90263,12,2018,COMMERCIAL,Y,,,
90265,10,2018,COMMERCIAL,Y,,,
90265,10,2018,INDUSTRIAL,Y,,,
90265,10,2018,RESIDENTIAL,N,5916,313934,53.0652
90265,11,2018,COMMERCIAL,Y,,,
90265,11,2018,INDUSTRIAL,Y,,,
90265,11,2018,RESIDENTIAL,N,5919,332697,56.2083
90265,12,2018,COMMERCIAL,Y,,,
90265,12,2018,INDUSTRIAL,Y,,,
90265,12,2018,RESIDENTIAL,N,5921,318843,53.8495
90266,10,2018,COMMERCIAL,N,421,141020,334.9644
90266,10,2018,INDUSTRIAL,Y,,,
90266,10,2018,RESIDENTIAL,N,14777,307681,20.8216
90266,11,2018,COMMERCIAL,Y,1382,958160,693.3140
90266,11,2018,INDUSTRIAL,Y,,,
90266,11,2018,RESIDENTIAL,N,14777,339566,22.9794
90266,12,2018,COMMERCIAL,N,421,174480,414.4418
90266,12,2018,INDUSTRIAL,Y,,,
90266,12,2018,RESIDENTIAL,N,14779,556054,37.6246
90270,10,2018,COMMERCIAL,N,180,51287,284.9278
90270,10,2018,INDUSTRIAL,Y,,,
90270,10,2018,RESIDENTIAL,N,6343,106681,16.8187
90270,11,2018,COMMERCIAL,N,180,56678,314.8778
90270,11,2018,INDUSTRIAL,Y,,,
90270,11,2018,RESIDENTIAL,N,6347,119246,18.7878
90270,12,2018,COMMERCIAL,N,180,62198,345.5444
90270,12,2018,INDUSTRIAL,Y,,,
90270,12,2018,RESIDENTIAL,N,6346,153880,24.2483
90272,10,2018,COMMERCIAL,Y,,,
90272,10,2018,INDUSTRIAL,Y,,,
90272,10,2018,RESIDENTIAL,N,9149,416675,45.5432
90272,11,2018,COMMERCIAL,Y,,,
90272,11,2018,INDUSTRIAL,Y,,,
90272,11,2018,RESIDENTIAL,N,9145,499066,54.5726
90272,12,2018,COMMERCIAL,Y,,,
90272,12,2018,INDUSTRIAL,Y,,,
90272,12,2018,RESIDENTIAL,N,9154,766759,83.7622
90274,10,2018,COMMERCIAL,N,192,59950,312.2396
90274,10,2018,INDUSTRIAL,Y,,,
90274,10,2018,RESIDENTIAL,N,9683,332922,34.3821
90274,11,2018,COMMERCIAL,N,191,74093,387.9215
90274,11,2018,INDUSTRIAL,Y,,,
90274,11,2018,RESIDENTIAL,N,9683,405156,41.8420
90274,12,2018,COMMERCIAL,Y,1234,928869,752.7301
90274,12,2018,INDUSTRIAL,Y,,,
90274,12,2018,RESIDENTIAL,N,9688,781975,80.7158
90275,10,2018,COMMERCIAL,Y,,,
90275,10,2018,INDUSTRIAL,Y,,,
90275,10,2018,RESIDENTIAL,N,14649,380205,25.9543
90275,11,2018,COMMERCIAL,Y,,,
90275,11,2018,INDUSTRIAL,Y,,,
90275,11,2018,RESIDENTIAL,N,14671,476078,32.4503
90275,12,2018,COMMERCIAL,Y,,,
90275,12,2018,INDUSTRIAL,Y,,,
90275,12,2018,RESIDENTIAL,N,14669,927134,63.2036
90277,10,2018,COMMERCIAL,Y,1299,610437,469.9284
90277,10,2018,INDUSTRIAL,Y,,,
90277,10,2018,RESIDENTIAL,N,12923,261323,20.2215
90277,11,2018,COMMERCIAL,N,493,162295,329.1988
90277,11,2018,INDUSTRIAL,Y,,,
90277,11,2018,RESIDENTIAL,N,12924,351411,27.1906
90277,12,2018,COMMERCIAL,N,493,180167,365.4503
90277,12,2018,INDUSTRIAL,Y,,,
90277,12,2018,RESIDENTIAL,N,12920,580855,44.9578
90278,10,2018,COMMERCIAL,N,267,75237,281.7865
90278,10,2018,INDUSTRIAL,Y,,,
90278,10,2018,RESIDENTIAL,N,15974,257091,16.0943
90278,11,2018,COMMERCIAL,N,267,69828,261.5281
90278,11,2018,INDUSTRIAL,Y,,,
90278,11,2018,RESIDENTIAL,N,15971,287336,17.9911
90278,12,2018,COMMERCIAL,N,266,87663,329.5602
90278,12,2018,INDUSTRIAL,Y,,,
90278,12,2018,RESIDENTIAL,N,15974,565696,35.4135
90280,10,2018,COMMERCIAL,Y,,,
90280,10,2018,INDUSTRIAL,Y,,,
90280,10,2018,RESIDENTIAL,N,24005,462590,19.2706
90280,11,2018,COMMERCIAL,Y,,,
90280,11,2018,INDUSTRIAL,Y,,,
90280,11,2018,RESIDENTIAL,N,24005,510510,21.2668
90280,12,2018,COMMERCIAL,Y,,,
90280,12,2018,INDUSTRIAL,Y,,,
90280,12,2018,RESIDENTIAL,N,24004,720476,30.0148
90290,10,2018,RESIDENTIAL,N,474,14369,30.3143
90290,11,2018,RESIDENTIAL,N,475,16463,34.6589
90290,12,2018,RESIDENTIAL,N,475,28013,58.9747
90291,10,2018,COMMERCIAL,N,429,97045,226.2121
90291,10,2018,INDUSTRIAL,Y,,,
90291,10,2018,RESIDENTIAL,N,13896,253847,18.2676
90291,11,2018,COMMERCIAL,N,427,102044,238.9789
90291,11,2018,INDUSTRIAL,Y,,,
90291,11,2018,RESIDENTIAL,N,13903,322515,23.1975
90291,12,2018,COMMERCIAL,N,429,111657,260.2727
90291,12,2018,INDUSTRIAL,Y,,,
90291,12,2018,RESIDENTIAL,N,13902,519305,37.3547
90292,10,2018,COMMERCIAL,Y,834,400907,480.7038
90292,10,2018,INDUSTRIAL,Y,,,
90292,10,2018,RESIDENTIAL,N,8572,254012,29.6328
90292,11,2018,COMMERCIAL,Y,393,291996,742.9924
90292,11,2018,INDUSTRIAL,Y,,,
90292,11,2018,RESIDENTIAL,N,8580,333587,38.8796
90292,12,2018,COMMERCIAL,N,291,207024,711.4227
90292,12,2018,INDUSTRIAL,Y,,,
90292,12,2018,RESIDENTIAL,N,8577,411878,48.0212
