ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224837,HY411330,8/25/2015 12:00,065XX N MAPLEWOOD AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,24,50,2,6,1158133,1943359,2015,2/10/2018 15:50,42.00032784,-87.69361533,"(42.000327844, -87.693615326)"
10224840,HY411786,9/5/2015 16:15,023XX W WARREN BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,TRUE,FALSE,1223,12,2,28,18,1160779,1900294,2015,2/10/2018 15:50,41.88210023,-87.68507933,"(41.882100231, -87.685079332)"
11034701,JA366925,1/1/2001 11:00,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,412,4,8,45,11,,,2001,8/5/2017 15:50,,,
10224841,HY411731,9/5/2015 15:30,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,2/10/2018 15:50,41.85198889,-87.68921912,"(41.851988885, -87.689219118)"
10224843,HY411734,9/5/2015 15:43,101XX S PROSPECT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2213,22,19,72,08B,1167466,1837422,2015,2/10/2018 15:50,41.70943086,-87.66232682,"(41.709430861, -87.66232682)"
10224845,HY411825,9/5/2015 16:00,001XX W ELM ST,890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,1824,18,42,8,6,1175121,1908069,2015,2/10/2018 15:50,41.9031259,-87.63218266,"(41.903125898, -87.632182661)"
10224846,HY411839,9/5/2015 16:00,015XX S HARDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1014,10,24,29,7,1150299,1892186,2015,2/10/2018 15:50,41.86006173,-87.72377349,"(41.860061733, -87.723773492)"
10224847,HY411834,9/4/2015 1:00,027XX N SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1411,14,35,22,14,1155906,1918067,2015,2/10/2018 15:50,41.9309705,-87.70249306,"(41.930970495, -87.702493061)"
12014684,JD189901,3/17/2020 21:30,039XX N LECLAIRE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1634,16,45,15,6,1141659,1925649,2020,3/25/2020 15:45,41.95205195,-87.75466037,"(41.952051946, -87.754660372)"
10224848,HY411832,9/4/2015 23:08,062XX W 64TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,812,8,13,64,26,1135842,1861096,2015,2/10/2018 15:50,41.775015,-87.7775802,"(41.775015003, -87.777580203)"
10224849,HY411821,9/5/2015 16:00,024XX N JANSSEN AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,5,1166229,1916376,2015,2/10/2018 15:50,41.92611561,-87.66460666,"(41.926115609, -87.664606657)"
10224850,HY411807,9/4/2015 17:00,015XX S STATE ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,131,1,3,33,6,1176584,1892788,2015,2/10/2018 15:50,41.86116104,-87.62727063,"(41.861161041, -87.627270627)"
10224851,HY411708,9/5/2015 14:55,035XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1924,19,44,6,6,1168463,1923924,2015,2/10/2018 15:50,41.94677957,-87.65617875,"(41.946779572, -87.65617875)"
10224852,HY411791,9/5/2015 16:25,034XX N WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,TRUE,FALSE,1921,19,47,5,26,1159771,1922681,2015,2/10/2018 15:50,41.94355269,-87.68816234,"(41.943552694, -87.688162342)"
10224853,HY411790,9/5/2015 16:15,041XX W FIFTH AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,TRUE,FALSE,1132,11,24,26,17,1148735,1896483,2015,9/17/2015 11:37,41.87188354,-87.72940361,"(41.871883543, -87.729403606)"
10224854,HY411699,9/5/2015 12:30,080XX S BISHOP ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,TRUE,FALSE,612,6,21,71,18,1168064,1851469,2015,2/10/2018 15:50,41.74796511,-87.6597343,"(41.747965107, -87.6597343)"
10224855,HY411771,9/5/2015 16:00,009XX N DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1212,12,32,24,14,1162894,1906466,2015,2/10/2018 15:50,41.89899259,-87.67713975,"(41.898992594, -87.677139749)"
10224857,HY411782,9/5/2015 16:15,056XX W GRAND AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2515,25,29,19,08B,1138435,1913561,2015,2/10/2018 15:50,41.91894033,-87.76680564,"(41.91894033, -87.766805639)"
